Occupation,Gender,Average weekly ordinary time cash earnings,Average weekly total cash earnings,Average weekly ordinary time hours paid for,Average weekly total hours paid for,Average hourly ordinary time cash earnings,Average hourly total cash earnings,Year
141 Accommodation and hospitality managers,Persons,1538.5,1538.5,38.4,38.4,40.1,40.1,2021
142 Retail managers,Females,1413.8,1417,38.8,38.9,36.4,36.5,2021
142 Retail managers,Males,1753.1,1778.9,38.9,39.4,45,45.1,2021
142 Retail managers,Persons,1578.3,1592.4,38.9,39.1,40.6,40.7,2021
"149 Miscellaneous hospitality, retail and service managers",Females,1865.6,1872.7,37.9,38,49.2,49.3,2021
"149 Miscellaneous hospitality, retail and service managers",Males,2008.4,2029.6,38.6,38.9,52.1,52.2,2021
"149 Miscellaneous hospitality, retail and service managers",Persons,1950.9,1966.4,38.3,38.5,50.9,51,2021
211 Arts professionals,Females,1916.6,2188.9,35.3,38.7,54.3,56.5,2021
211 Arts professionals,Males,1924.4,2114.9,36.5,39,52.8,54.2,2021
211 Arts professionals,Persons,1921.6,2141.6,36,38.9,53.3,55.1,2021
212 Media professionals,Females,1906.7,1934.4,38.7,39.3,49.2,49.2,2021
212 Media professionals,Males,1895.3,1915.1,38.6,38.9,49.1,49.2,2021
212 Media professionals,Persons,1900.9,1924.6,38.7,39.1,49.1,49.2,2021
"221 Accountants, auditors and company secretaries",Females,1812.7,1817.5,37.6,37.7,48.2,48.2,2021
"221 Accountants, auditors and company secretaries",Males,2053.6,2056.3,37.6,37.6,54.6,54.6,2021
"221 Accountants, auditors and company secretaries",Persons,1923.2,1927,37.6,37.7,51.1,51.1,2021
"222 Financial brokers and dealers, and investment advisers",Females,2597.7,2598.5,37.8,37.8,68.8,68.8,2021
"222 Financial brokers and dealers, and investment advisers",Males,3404.5,3416.5,38.1,38.3,89.3,89.3,2021
"222 Financial brokers and dealers, and investment advisers",Persons,3101.8,3109.6,38,38.1,81.7,81.7,2021
223 Human resource and training professionals,Females,1912.6,1913.3,36.9,36.9,51.9,51.9,2021
223 Human resource and training professionals,Males,1950.8,1986.6,37.9,38.2,51.5,52,2021
223 Human resource and training professionals,Persons,1924.3,1935.7,37.2,37.3,51.8,51.9,2021
224 Information and organisation professionals,Females,2219.9,2230.4,37.4,37.6,59.3,59.4,2021
224 Information and organisation professionals,Males,2334.9,2340.5,38,38,61.5,61.5,2021
224 Information and organisation professionals,Persons,2282.1,2290,37.7,37.8,60.5,60.6,2021
"225 Sales, marketing and public relations professionals",Females,1964.6,1967.2,37.3,37.4,52.6,52.7,2021
"225 Sales, marketing and public relations professionals",Males,2377.4,2383.1,37.9,38,62.8,62.8,2021
"225 Sales, marketing and public relations professionals",Persons,2182.7,2187,37.6,37.7,58,58.1,2021
231 Air and marine transport professionals,Females,2349.6,2367.4,37.5,37.5,62.7,63.1,2021
231 Air and marine transport professionals,Males,3414.9,3445.5,43,43.3,79.4,79.6,2021
231 Air and marine transport professionals,Persons,3324.5,3354,42.6,42.8,78.1,78.4,2021
"232 Architects, designers, planners and surveyors",Females,1692.6,1695.8,37.5,37.5,45.2,45.2,2021
"232 Architects, designers, planners and surveyors",Males,1927.8,1936.4,38,38.2,50.7,50.7,2021
"232 Architects, designers, planners and surveyors",Persons,1836.9,1843.4,37.8,37.9,48.6,48.6,2021
233 Engineering professionals,Females,2293.9,2294.5,37.8,37.8,60.6,60.6,2021
233 Engineering professionals,Males,2481.6,2541.7,38.4,39.1,64.7,65,2021
233 Engineering professionals,Persons,2465,2519.8,38.3,39,64.3,64.6,2021
234 Natural and physical science professionals,Females,1991.5,2007,37.6,37.9,53,52.9,2021
234 Natural and physical science professionals,Males,2075.9,2117.8,37.7,38.1,55.1,55.5,2021
234 Natural and physical science professionals,Persons,2036.2,2065.6,37.6,38,54.1,54.3,2021
241 School teachers,Females,1880.3,1881.1,36.2,36.3,51.9,51.9,2021
241 School teachers,Males,1993.9,1998.5,36.5,36.5,54.6,54.7,2021
241 School teachers,Persons,1911.4,1913.3,36.3,36.3,52.6,52.7,2021
242 Tertiary education teachers,Females,2389.1,2395.5,36.6,36.7,65.2,65.3,2021
242 Tertiary education teachers,Males,2455.6,2461,36.8,36.8,66.8,66.8,2021
242 Tertiary education teachers,Persons,2429,2434.8,36.7,36.8,66.2,66.2,2021
249 Miscellaneous education professionals,Females,1945.8,1945.8,37,37,52.6,52.6,2021
249 Miscellaneous education professionals,Males,2002.4,2002.4,36.7,36.7,54.5,54.5,2021
249 Miscellaneous education professionals,Persons,1959.6,1959.6,36.9,36.9,53.1,53.1,2021
251 Health diagnostic and promotion professionals,Females,1935.7,1982.9,37.8,38.2,51.3,51.8,2021
251 Health diagnostic and promotion professionals,Males,2174.9,2291.9,38.6,39.8,56.3,57.5,2021
251 Health diagnostic and promotion professionals,Persons,2033.7,2109.4,38.1,38.9,53.4,54.2,2021
252 Health therapy professionals,Females,1757.5,1758.5,37.4,37.5,46.9,46.9,2021
252 Health therapy professionals,Males,1709,1710,38.4,38.4,44.5,44.5,2021
252 Health therapy professionals,Persons,1743,1743.9,37.7,37.8,46.2,46.2,2021
253 Medical practitioners,Females,3051.6,3302.8,38.4,41,79.4,80.5,2021
253 Medical practitioners,Males,3968.6,4096.6,38.7,39.9,102.6,102.6,2021
253 Medical practitioners,Persons,3659.1,3828.6,38.6,40.3,94.8,95,2021
254 Midwifery and nursing professionals,Females,1974.7,2043.5,37.5,38.4,52.7,53.2,2021
254 Midwifery and nursing professionals,Males,2098.7,2244.4,37.6,39.2,55.9,57.2,2021
254 Midwifery and nursing professionals,Persons,1993,2073.2,37.5,38.5,53.1,53.8,2021
"261 Business and systems analysts, and programmers",Females,2082.3,2093.5,37.7,37.9,55.2,55.3,2021
"261 Business and systems analysts, and programmers",Males,2392.4,2402.3,38.4,38.6,62.3,62.3,2021
"261 Business and systems analysts, and programmers",Persons,2333.6,2343.7,38.3,38.4,60.9,61,2021
"262 Database and systems administrators, and ICT security specialists",Females,1933.5,1943.3,38,38.1,50.9,51,2021
"262 Database and systems administrators, and ICT security specialists",Males,2485,2498.7,38,38.3,65.3,65.2,2021
"262 Database and systems administrators, and ICT security specialists",Persons,2395.2,2408.3,38,38.3,63,62.9,2021
263 ICT network and support professionals,Females,1963.6,2021.7,36.1,37.3,54.4,54.3,2021
263 ICT network and support professionals,Males,2181.7,2217.4,37.8,38.3,57.7,58,2021
263 ICT network and support professionals,Persons,2136.1,2176.5,37.5,38,57,57.2,2021
271 Legal professionals,Females,2001.3,2004.6,37.7,37.8,53,53.1,2021
271 Legal professionals,Males,2403.2,2415.1,37.2,37.3,64.7,64.8,2021
271 Legal professionals,Persons,2166.1,2172.9,37.5,37.6,57.8,57.9,2021
272 Social and welfare professionals,Females,1787,1794,37.1,37.2,48.2,48.2,2021
272 Social and welfare professionals,Males,1830.7,1843.4,37.1,37.2,49.4,49.5,2021
272 Social and welfare professionals,Persons,1800,1808.7,37.1,37.2,48.5,48.6,2021
"311 Agricultural, medical and science technicians",Females,1303.4,1356.9,37.5,38.5,34.7,35.3,2021
"311 Agricultural, medical and science technicians",Males,1463.3,1480,37.3,37.6,39.2,39.4,2021
"311 Agricultural, medical and science technicians",Persons,1389.1,1422.8,37.4,38,37.1,37.4,2021
312 Building and engineering technicians,Females,1948.8,1986.3,38.9,39.6,50.1,50.2,2021
312 Building and engineering technicians,Males,2240.6,2337.8,38.9,40.3,57.6,58.1,2021
312 Building and engineering technicians,Persons,2205.8,2295.9,38.9,40.2,56.7,57.1,2021
313 ICT and telecommunications technicians,Females,1552.1,1560,37.8,37.9,41.1,41.1,2021
313 ICT and telecommunications technicians,Males,1556.2,1576.3,38,38.3,40.9,41.1,2021
313 ICT and telecommunications technicians,Persons,1555.2,1572.1,38,38.2,41,41.1,2021
321 Automotive electricians and mechanics,Females,1439.2,1447,38.5,38.7,37.4,37.4,2021
321 Automotive electricians and mechanics,Males,1405.7,1466.1,39.6,40.8,35.5,36,2021
321 Automotive electricians and mechanics,Persons,1406.5,1465.6,39.6,40.7,35.5,36,2021
322 Fabrication engineering trades workers,Persons,1533.3,1780.3,38.5,43.3,39.8,41.1,2021
323 Mechanical engineering trades workers,Females,2269.4,2419.5,40.3,41.6,56.3,58.2,2021
323 Mechanical engineering trades workers,Males,2033.3,2293.5,40.5,44.2,50.2,51.9,2021
323 Mechanical engineering trades workers,Persons,2037.5,2295.8,40.5,44.2,50.3,52,2021
"331 Bricklayers, and carpenters and joiners",Persons,1455.7,1618.9,39.1,41.5,37.3,39,2021
332 Floor finishers and painting trades workers,Females,942.3,1079.1,32.7,35.8,28.8,30.2,2021
332 Floor finishers and painting trades workers,Males,1342.8,1380.4,37.9,38.7,35.4,35.7,2021
332 Floor finishers and painting trades workers,Persons,1293.2,1343.1,37.3,38.3,34.7,35.1,2021
334 Plumbers,Persons,1438.1,1592.3,38.2,40.7,37.7,39.1,2021
341 Electricians,Females,2461.9,2758.6,38.8,42.6,63.5,64.7,2021
341 Electricians,Males,1897.5,2227.9,38.4,42.9,49.4,51.9,2021
341 Electricians,Persons,1911.9,2241.5,38.4,42.9,49.7,52.3,2021
342 Electronics and telecommunications trades workers,Females,1359.2,1417.7,37.3,37.9,36.5,37.4,2021
342 Electronics and telecommunications trades workers,Males,1638.6,1812.4,37.9,40.2,43.3,45.1,2021
342 Electronics and telecommunications trades workers,Persons,1633.5,1805.1,37.9,40.1,43.1,45,2021
351 Food trades workers,Females,1215.1,1229.6,38.5,38.9,31.5,31.6,2021
351 Food trades workers,Males,1255.7,1286.2,38.2,38.9,32.8,33,2021
351 Food trades workers,Persons,1249.1,1277.1,38.3,38.9,32.6,32.8,2021
"361 Animal attendants and trainers, and shearers",Females,1098.4,1135.5,37.4,38.3,29.4,29.6,2021
"361 Animal attendants and trainers, and shearers",Males,941.5,941.5,38.5,38.5,24.4,24.4,2021
"361 Animal attendants and trainers, and shearers",Persons,1080.8,1113.8,37.5,38.4,28.8,29,2021
362 Horticultural trades workers,Females,1191,1196.8,37.9,37.9,31.5,31.5,2021
362 Horticultural trades workers,Males,1286.1,1539.9,38.6,43.4,33.3,35.5,2021
362 Horticultural trades workers,Persons,1278.3,1511.7,38.6,42.9,33.2,35.2,2021
391 Hairdressers,Females,1024.9,1047.1,37.5,38.2,27.3,27.4,2021
391 Hairdressers,Males,1138.8,1142.9,39.1,39.2,29.1,29.1,2021
391 Hairdressers,Persons,1076.9,1090.8,38.2,38.7,28.2,28.2,2021
392 Printing trades workers,Females,1003.3,1028.2,37.8,38.2,26.6,26.9,2021
392 Printing trades workers,Males,1359.4,1625.1,38.2,42.2,35.6,38.5,2021
392 Printing trades workers,Persons,1308.6,1539.9,38.1,41.6,34.3,37,2021
"393 Textile, clothing and footwear trades workers",Females,1097.7,1097.7,38.8,38.8,28.3,28.3,2021
"393 Textile, clothing and footwear trades workers",Males,1163.3,1163.3,38.1,38.1,30.6,30.6,2021
"393 Textile, clothing and footwear trades workers",Persons,1144.3,1144.3,38.3,38.3,29.9,29.9,2021
394 Wood trades workers,Persons,1100.9,1335.6,37.4,42.3,29.5,31.6,2021
399 Miscellaneous technicians and trades workers,Females,1362.4,1376.1,38.3,38.6,35.6,35.6,2021
399 Miscellaneous technicians and trades workers,Males,1780.5,1962.6,38,40.2,46.9,48.8,2021
399 Miscellaneous technicians and trades workers,Persons,1700.7,1850.7,38,39.9,44.7,46.4,2021
411 Health and welfare support workers,Females,1501.3,1527.2,37.3,37.7,40.2,40.5,2021
411 Health and welfare support workers,Males,1671.6,1784.1,38.2,39.7,43.8,44.9,2021
411 Health and welfare support workers,Persons,1565.2,1623.6,37.6,38.5,41.6,42.2,2021
421 Child carers,Persons,1085.9,1091.3,37.7,37.9,28.8,28.8,2021
422 Education aides,Persons,1175.5,1175.5,34.9,34.9,33.7,33.7,2021
423 Personal carers and assistants,Females,1256.6,1322.7,37.3,38.7,33.7,34.2,2021
423 Personal carers and assistants,Males,1286.5,1324.6,38,38.8,33.8,34.2,2021
423 Personal carers and assistants,Persons,1267.4,1323.4,37.6,38.7,33.7,34.2,2021
431 Hospitality workers,Females,1140.3,1145.6,37.8,37.9,30.2,30.2,2021
431 Hospitality workers,Males,1170.8,1177.5,37.7,37.8,31.1,31.1,2021
431 Hospitality workers,Persons,1151.4,1157.2,37.7,37.9,30.5,30.6,2021
"441 Defence force members, fire fighters and police",Females,2052.4,2189.2,38.4,40,53.4,54.7,2021
"441 Defence force members, fire fighters and police",Males,2148.5,2255.5,38.5,39.6,55.8,56.9,2021
"441 Defence force members, fire fighters and police",Persons,2134.2,2245.6,38.5,39.7,55.5,56.6,2021
442 Prison and security officers,Females,1460.9,1614.1,39,41.9,37.5,38.5,2021
442 Prison and security officers,Males,1431,1623,38.8,42.4,36.9,38.3,2021
442 Prison and security officers,Persons,1437.5,1621.1,38.8,42.3,37,38.3,2021
451 Personal service and travel workers,Females,1336.5,1358.5,38.4,38.9,34.8,35,2021
451 Personal service and travel workers,Males,1377.7,1445.1,36.6,37.9,37.7,38.2,2021
451 Personal service and travel workers,Persons,1348.7,1384.2,37.8,38.6,35.7,35.9,2021
452 Sports and fitness workers,Females,1202.2,1212.1,37.8,37.9,31.8,32,2021
452 Sports and fitness workers,Males,1762.5,1763,37.2,37.2,47.4,47.4,2021
452 Sports and fitness workers,Persons,1570.7,1574.5,37.4,37.4,42,42.1,2021
"511 Contract, program and project administrators",Females,1753.3,1760.3,37.6,37.7,46.7,46.7,2021
"511 Contract, program and project administrators",Males,2081.2,2131.6,37.9,38.6,54.9,55.2,2021
"511 Contract, program and project administrators",Persons,1905.6,1932.8,37.7,38.1,50.5,50.7,2021
512 Office and practice managers,Females,1474.6,1491.1,37,37.3,39.8,40,2021
512 Office and practice managers,Males,1738.7,1777.8,38.3,39,45.4,45.6,2021
512 Office and practice managers,Persons,1523.9,1544.6,37.3,37.6,40.9,41,2021
521 Personal assistants and secretaries,Females,1528.1,1529.9,37.5,37.6,40.7,40.7,2021
521 Personal assistants and secretaries,Males,1320.1,1324.4,37.7,37.8,35,35,2021
521 Personal assistants and secretaries,Persons,1519.6,1521.5,37.5,37.6,40.5,40.5,2021
531 General clerks,Females,1227.5,1246.2,37.2,37.6,33,33.1,2021
531 General clerks,Males,1334,1368.1,36.8,37.4,36.2,36.5,2021
531 General clerks,Persons,1248.7,1270.4,37.1,37.6,33.6,33.8,2021
532 Keyboard operators,Females,1208.7,1227.4,37.4,37.8,32.3,32.5,2021
532 Keyboard operators,Males,1000.3,1000.3,33.5,33.5,29.8,29.8,2021
532 Keyboard operators,Persons,1168.6,1183.7,36.7,37,31.9,32,2021
541 Call or contact centre information clerks,Females,1244.5,1272.5,37.1,37.6,33.5,33.9,2021
541 Call or contact centre information clerks,Males,1277.6,1343.9,37.6,38.9,34,34.6,2021
541 Call or contact centre information clerks,Persons,1258.5,1302.6,37.3,38.1,33.7,34.2,2021
542 Receptionists,Females,1087.8,1127,37.4,38.2,29.1,29.5,2021
542 Receptionists,Males,1058.2,1069.3,38.6,38.9,27.4,27.5,2021
542 Receptionists,Persons,1084.4,1120.5,37.6,38.3,28.9,29.2,2021
551 Accounting clerks and bookkeepers,Females,1309.7,1315,37.8,37.9,34.7,34.7,2021
551 Accounting clerks and bookkeepers,Males,1378.8,1420.1,37.8,38.5,36.5,36.9,2021
551 Accounting clerks and bookkeepers,Persons,1330.6,1346.8,37.8,38.1,35.2,35.4,2021
552 Financial and insurance clerks,Females,1352.2,1362.3,37.9,38,35.7,35.8,2021
552 Financial and insurance clerks,Males,1466.2,1497.2,38.1,38.6,38.5,38.8,2021
552 Financial and insurance clerks,Persons,1396.9,1415.2,37.9,38.3,36.8,37,2021
561 Clerical and office support workers,Females,1223.6,1264.9,36.6,37.5,33.4,33.7,2021
561 Clerical and office support workers,Males,1167.9,1282.2,37.3,39.9,31.3,32.1,2021
561 Clerical and office support workers,Persons,1194.7,1273.9,37,38.8,32.3,32.9,2021
591 Logistics clerks,Females,1292.5,1308.9,37.9,38.2,34.1,34.3,2021
591 Logistics clerks,Males,1493.7,1533.1,38.4,39.2,38.9,39.1,2021
591 Logistics clerks,Persons,1419.3,1450.1,38.2,38.8,37.1,37.3,2021
599 Miscellaneous clerical and administrative workers,Females,1397.5,1417.6,37.6,38.1,37.1,37.3,2021
599 Miscellaneous clerical and administrative workers,Males,1553.9,1609,37.5,38.3,41.4,42,2021
599 Miscellaneous clerical and administrative workers,Persons,1458.5,1492.3,37.6,38.1,38.8,39.1,2021
611 Insurance agents and sales representatives,Females,1563.5,1565.2,37.5,37.5,41.7,41.7,2021
611 Insurance agents and sales representatives,Males,1674.4,1683.2,38.3,38.5,43.8,43.8,2021
611 Insurance agents and sales representatives,Persons,1635.8,1642.2,38,38.1,43,43.1,2021
612 Real estate sales agents,Females,1260.2,1261.5,37.7,37.7,33.5,33.5,2021
612 Real estate sales agents,Males,1611.2,1617.3,38,38.2,42.4,42.3,2021
612 Real estate sales agents,Persons,1406.3,1409.6,37.8,37.9,37.2,37.2,2021
621 Sales assistants and salespersons,Females,1107,1119.2,38.5,38.8,28.7,28.8,2021
621 Sales assistants and salespersons,Males,1277,1298.1,38.5,39,33.2,33.3,2021
621 Sales assistants and salespersons,Persons,1191.7,1208.3,38.5,38.9,31,31.1,2021
631 Checkout operators and office cashiers,Females,922.3,,37.3,37.6,24.7,,2021
631 Checkout operators and office cashiers,Males,1120.4,,37.7,38.2,29.7,,2021
631 Checkout operators and office cashiers,Persons,983,994.6,37.4,37.8,26.3,26.3,2021
639 Miscellaneous sales support workers,Females,1241.7,1278.4,37.9,38.5,32.8,33.2,2021
639 Miscellaneous sales support workers,Males,1408.1,1452.9,38.2,38.8,36.8,37.4,2021
639 Miscellaneous sales support workers,Persons,1322.6,1363.2,38.1,38.6,34.7,35.3,2021
711 Machine operators,Females,1045.4,1073.7,37.3,37.8,28.1,28.4,2021
711 Machine operators,Males,1204.9,1480.3,37.6,42.6,32,34.8,2021
711 Machine operators,Persons,1156.9,1357.9,37.5,41.1,30.8,33,2021
712 Stationary plant operators,Females,2126.4,2333.7,44.2,48,48.1,48.6,2021
712 Stationary plant operators,Males,2035.6,2258.7,41.8,45.4,48.7,49.7,2021
712 Stationary plant operators,Persons,2043.9,2265.6,42,45.7,48.7,49.6,2021
721 Mobile plant operators,Females,1212.3,1363.4,38.3,41.4,31.7,33,2021
721 Mobile plant operators,Males,1430,1634.3,38.2,42.4,37.4,38.6,2021
721 Mobile plant operators,Persons,1418.1,1619.5,38.2,42.3,37.1,38.3,2021
"731 Automobile, bus and rail drivers",Females,1603.3,1763.1,38.2,40.8,42,43.2,2021
"731 Automobile, bus and rail drivers",Males,1570.8,1807.3,38.8,43.2,40.5,41.9,2021
"731 Automobile, bus and rail drivers",Persons,1573,1804.3,38.8,43,40.6,42,2021
732 Delivery drivers,Females,925.5,1158.4,38.5,45.1,24.1,25.7,2021
732 Delivery drivers,Males,1056.4,1172.2,38.8,41.6,27.2,28.2,2021
732 Delivery drivers,Persons,1053.1,1171.8,38.8,41.7,27.1,28.1,2021
733 Truck drivers,Females,1663.3,1980.2,45.8,51.6,36.3,38.4,2021
733 Truck drivers,Males,1422.4,1802.5,40,48.3,35.6,37.3,2021
733 Truck drivers,Persons,1429.7,1807.9,40.1,48.4,35.6,37.4,2021
741 Storepersons,Females,1079.9,1120.6,37.9,38.7,28.5,28.9,2021
741 Storepersons,Males,1132.7,1214.1,38,39.8,29.8,30.5,2021
741 Storepersons,Persons,1126,1202.2,38,39.7,29.7,30.3,2021
811 Cleaners and laundry workers,Females,1004.2,1025.3,37.9,38.4,26.5,26.7,2021
811 Cleaners and laundry workers,Males,1034.5,1099.5,38.2,39.6,27.1,27.8,2021
811 Cleaners and laundry workers,Persons,1020.9,1066.2,38,39.1,26.8,27.3,2021
821 Construction and mining labourers,Females,1295.8,1388.1,37.8,39.3,34.3,35.3,2021
821 Construction and mining labourers,Males,1594.4,1811.9,38.8,42.5,41,42.6,2021
821 Construction and mining labourers,Persons,1585.2,1798.9,38.8,42.4,40.8,42.4,2021
831 Food process workers,Females,1061.5,1163.9,38,40.4,27.9,28.8,2021
831 Food process workers,Males,1201.7,1351,38,41.2,31.6,32.8,2021
831 Food process workers,Persons,1170.4,1309.2,38,41,30.8,31.9,2021
832 Packers and product assemblers,Females,1001.3,1149.8,36.5,40,27.4,28.7,2021
832 Packers and product assemblers,Males,1013.6,1124,37.4,39.7,27.1,28.3,2021
832 Packers and product assemblers,Persons,1010,1131.5,37.2,39.8,27.2,28.4,2021
839 Miscellaneous factory process workers,Females,1051.5,1108.9,37.5,38.8,28,28.6,2021
839 Miscellaneous factory process workers,Males,1178.3,1362,38.1,42,31,32.4,2021
839 Miscellaneous factory process workers,Persons,1157.1,1319.6,38,41.5,30.5,31.8,2021
"841 Farm, forestry and garden workers",Females,981.5,1029.6,38.2,39.3,25.7,26.2,2021
"841 Farm, forestry and garden workers",Males,1102.7,1173.1,39.3,41.1,28,28.6,2021
"841 Farm, forestry and garden workers",Persons,1081,1147.4,39.1,40.8,27.6,28.2,2021
851 Food preparation assistants,Females,1004.3,1011,38,38.2,26.4,26.5,2021
851 Food preparation assistants,Males,1011.5,1025.3,38.7,39,26.2,26.3,2021
851 Food preparation assistants,Persons,1007.5,1017.3,38.3,38.5,26.3,26.4,2021
891 Freight handlers and shelf fillers,Females,1113.1,1226.1,39.5,42,28.2,29.2,2021
891 Freight handlers and shelf fillers,Males,1392.2,1576.4,38.5,41.9,36.2,37.6,2021
891 Freight handlers and shelf fillers,Persons,1357.8,1533.2,38.6,41.9,35.1,36.6,2021
899 Miscellaneous labourers,Females,1238.6,1421.5,38.1,41.8,32.5,34,2021
899 Miscellaneous labourers,Males,1259.1,1372.1,38.7,40.9,32.5,33.6,2021
899 Miscellaneous labourers,Persons,1256.8,1377.6,38.6,41,32.5,33.6,2021
