Occupation,Gender,Average weekly ordinary time cash earnings,Average weekly total cash earnings,Average weekly ordinary time hours paid for,Average weekly total hours paid for,Average hourly ordinary time cash earnings,Average hourly total cash earnings,Year
121 Farmers and farm managers,Persons,1858.6,1858.6,38.7,38.7,48.1,48.1,2021
131 Advertising and sales managers,Females,2803.9,2803.9,38.1,38.1,73.6,73.6,2021
131 Advertising and sales managers,Males,2971,2971.7,38.2,38.2,77.8,77.8,2021
131 Advertising and sales managers,Persons,2906.4,2906.8,38.1,38.2,76.2,76.2,2021
132 Business administration managers,Females,2773.4,2773.4,37.3,37.3,74.3,74.3,2021
132 Business administration managers,Males,3628,3628,37.9,37.9,95.7,95.7,2021
132 Business administration managers,Persons,3214.8,3214.8,37.6,37.6,85.4,85.4,2021
"133 Construction, distribution and production managers",Females,2434.2,2501.1,38,38.8,64.1,64.5,2021
"133 Construction, distribution and production managers",Males,2973,3067.9,38.7,39.9,76.8,76.9,2021
"133 Construction, distribution and production managers",Persons,2912.7,3004.5,38.6,39.8,75.4,75.5,2021
"134 Education, health and welfare services managers",Females,2155.1,2157.3,37.7,37.8,57.1,57.1,2021
"134 Education, health and welfare services managers",Males,2368.5,2373.7,37.6,37.7,62.9,63,2021
"134 Education, health and welfare services managers",Persons,2209.3,2212.2,37.7,37.8,58.6,58.6,2021
135 ICT managers,Females,2910.8,2981.7,36.8,37.6,79,79.3,2021
135 ICT managers,Males,3218.9,3218.9,38.2,38.2,84.2,84.2,2021
135 ICT managers,Persons,3154.6,3169.4,37.9,38.1,83.2,83.2,2021
139 Miscellaneous specialist managers,Females,2708.8,2709.4,38,38,71.2,71.2,2021
139 Miscellaneous specialist managers,Males,2961.6,3032.8,38.2,38.7,77.6,78.5,2021
139 Miscellaneous specialist managers,Persons,2862.2,2905.7,38.1,38.4,75.1,75.6,2021
141 Accommodation and hospitality managers,Females,1294.9,1294.9,38.1,38.1,34,34,2021
141 Accommodation and hospitality managers,Males,1579,1579,38.5,38.5,41.1,41.1,2021
