Occupation,Gender,Average weekly ordinary time cash earnings,Average weekly total cash earnings,Average weekly ordinary time hours paid for,Average weekly total hours paid for,Average hourly ordinary time cash earnings,Average hourly total cash earnings,Year
234 Natural and physical science professionals,Persons,2049.8,2072.6,37.5,37.9,54.6,54.8,2023
241 School teachers,Females,2012.9,2014.2,36.5,36.5,55.4,55.4,2023
241 School teachers,Males,1995.8,1997.8,36.9,36.9,54.1,54.1,2023
241 School teachers,Persons,2006.6,2008.2,36.6,36.6,54.9,54.9,2023
242 Tertiary education teachers,Females,2346.5,2346.5,36.7,36.7,64.2,64.2,2023
242 Tertiary education teachers,Males,2568.7,2583.6,37,37.2,69.4,69.5,2023
242 Tertiary education teachers,Persons,2465.7,2473.7,36.9,37,67,67.1,2023
249 Miscellaneous education professionals,Females,2790.1,2790.1,36.4,36.4,77.4,77.4,2023
249 Miscellaneous education professionals,Males,2192.2,2227.8,36.1,36.5,60.9,61.3,2023
249 Miscellaneous education professionals,Persons,2641.2,2650.1,36.3,36.4,73.3,73.4,2023
251 Health diagnostic and promotion professionals,Females,1996.3,2061.1,37.6,38.3,53.2,53.7,2023
251 Health diagnostic and promotion professionals,Males,2235.5,2270.2,38.4,38.8,58.8,59.1,2023
251 Health diagnostic and promotion professionals,Persons,2120.1,2169.4,38,38.5,56.1,56.5,2023
252 Health therapy professionals,Females,1752.4,1753,37.3,37.3,47.2,47.2,2023
252 Health therapy professionals,Males,1987.2,1987.3,37.8,37.8,52.5,52.5,2023
252 Health therapy professionals,Persons,1803,1803.5,37.4,37.4,48.3,48.3,2023
253 Medical practitioners,Females,3262.4,3662.5,38.3,41.8,85.4,88.4,2023
253 Medical practitioners,Males,3446.3,3690.6,38.8,40.9,88.9,90.2,2023
253 Medical practitioners,Persons,3363.7,3678,38.6,41.3,87.3,89.4,2023
254 Midwifery and nursing professionals,Females,2156.9,2268.8,37.4,38.6,57.5,58.3,2023
254 Midwifery and nursing professionals,Males,2278.6,2451.9,38.2,39.9,59.6,60.9,2023
254 Midwifery and nursing professionals,Persons,2181.2,2305.3,37.6,38.9,57.9,58.8,2023
"261 Business and systems analysts, and programmers",Females,2336.5,2337.5,38,38,61.3,61.3,2023
"261 Business and systems analysts, and programmers",Males,2574.2,2590.4,38.3,38.5,67.2,67.2,2023
"261 Business and systems analysts, and programmers",Persons,2524,2537,38.2,38.4,65.9,66,2023
"262 Database and systems administrators, and ICT security specialists",Females,2134,2142.6,38,38.1,56.2,56.3,2023
"262 Database and systems administrators, and ICT security specialists",Males,2563.1,2621.5,38.1,38.7,67.2,67.6,2023
"262 Database and systems administrators, and ICT security specialists",Persons,2434.8,2478.3,38,38.5,63.9,64.2,2023
263 ICT network and support professionals,Females,2146.2,2146.2,38.2,38.2,56.2,56.2,2023
263 ICT network and support professionals,Males,2353.7,2394,38.3,38.7,61.4,61.6,2023
263 ICT network and support professionals,Persons,2301.8,2332,38.3,38.6,60.1,60.3,2023
271 Legal professionals,Females,2295.7,2298.1,37,37.1,62.7,62.8,2023
271 Legal professionals,Males,2526.2,2538.2,37.6,37.7,67.3,67.4,2023
271 Legal professionals,Persons,2388.2,2394.4,37.2,37.3,64.6,64.6,2023
272 Social and welfare professionals,Females,1847.3,1851.1,37.2,37.3,49.7,49.7,2023
272 Social and welfare professionals,Males,1904.9,1921.6,37.5,37.6,51.2,51.3,2023
272 Social and welfare professionals,Persons,1862.2,1869.4,37.3,37.4,50.1,50.1,2023
"311 Agricultural, medical and science technicians",Females,1452,1494.9,37.2,37.9,39,39.4,2023
"311 Agricultural, medical and science technicians",Males,1585.6,1644,38,39,41.8,42.1,2023
"311 Agricultural, medical and science technicians",Persons,1515.4,1565.7,37.6,38.4,40.3,40.7,2023
312 Building and engineering technicians,Females,2068.6,2201,38.9,40.7,53.3,54.2,2023
312 Building and engineering technicians,Males,2460.2,2616.4,39.8,41.8,61.2,62.1,2023
312 Building and engineering technicians,Persons,2415.8,2569.3,39.7,41.7,60.3,61.2,2023
313 ICT and telecommunications technicians,Females,1578.1,1592.3,38.1,38.3,41.6,41.7,2023
313 ICT and telecommunications technicians,Males,1698.3,1742.7,37.8,38.3,45.1,45.5,2023
313 ICT and telecommunications technicians,Persons,1667.3,1703.9,37.9,38.3,44.2,44.5,2023
321 Automotive electricians and mechanics,Persons,1440.3,1595.7,39.2,41.8,36.1,37.3,2023
322 Fabrication engineering trades workers,Persons,1635.1,1927.2,38.5,43.2,42.4,43.8,2023
323 Mechanical engineering trades workers,Females,1791.9,2091.7,38.1,41.7,47.2,49.7,2023
323 Mechanical engineering trades workers,Males,2040.3,2284.4,39.4,42.8,51.3,52.9,2023
323 Mechanical engineering trades workers,Persons,2030,2276.4,39.3,42.7,51.1,52.8,2023
"324 Panelbeaters, and vehicle body builders, trimmers and painters",Persons,1543.8,1713.3,38.3,41.1,40.3,41.5,2023
"331 Bricklayers, and carpenters and joiners",Males,1721.4,1968.7,37.3,40.4,46.6,48.1,2023
"331 Bricklayers, and carpenters and joiners",Persons,1721.4,1968.7,37.3,40.4,46.6,48.1,2023
332 Floor finishers and painters,Persons,1459.4,1508.9,39.5,40.3,36.9,36.9,2023
"333 Glaziers, plasterers and tilers",Males,1478.3,1577.5,38.3,39.7,38.5,39.3,2023
"333 Glaziers, plasterers and tilers",Persons,1478.3,1577.5,38.3,39.7,38.5,39.3,2023
334 Plumbers,Males,2006.8,2297.6,36.9,40.2,55,56.5,2023
334 Plumbers,Persons,2006.8,2297.6,36.9,40.2,55,56.5,2023
341 Electricians,Females,1540.8,2222.8,37.9,47.6,40.7,45.2,2023
341 Electricians,Males,2058.4,2405.3,37.4,41.1,54.9,57.7,2023
341 Electricians,Persons,2038.9,2398.4,37.4,41.3,54.4,57.2,2023
342 Electronics and telecommunications trades workers,Females,1122,1202.7,38,39,29.6,30.2,2023
342 Electronics and telecommunications trades workers,Males,1708.7,1947.9,37.7,40.7,45.4,47.4,2023
342 Electronics and telecommunications trades workers,Persons,1684.1,1916.7,37.7,40.6,44.8,46.7,2023
351 Food trades workers,Females,1215.8,1237.2,38.1,38.6,31.9,32.1,2023
351 Food trades workers,Males,1369.8,1391.9,38.5,39,35.6,35.7,2023
351 Food trades workers,Persons,1335.3,1357.3,38.4,38.9,34.7,34.9,2023
"361 Animal attendants and trainers, and veterinary nurses",Females,1397.9,1646.9,38.1,42,36.5,37.9,2023
"361 Animal attendants and trainers, and veterinary nurses",Males,1252.8,1252.8,38.1,38.1,32.9,32.9,2023
"361 Animal attendants and trainers, and veterinary nurses",Persons,1375.3,1585.5,38.1,41.4,35.9,37.1,2023
362 Horticultural trades workers,Females,1425.8,1450.8,39.8,40.3,35.8,36.1,2023
362 Horticultural trades workers,Males,1337.8,1550.4,38.8,42.3,34.5,36.2,2023
362 Horticultural trades workers,Persons,1340.7,1547.2,38.9,42.2,34.5,36.2,2023
363 Primary production supervisors and specialists,Females,1075.4,1075.4,37.6,37.6,28.6,28.6,2023
363 Primary production supervisors and specialists,Males,1688.9,1776.6,38.7,41.1,43.9,43.9,2023
363 Primary production supervisors and specialists,Persons,1652.1,1734.6,38.6,40.9,43,43,2023
391 Hairdressers,Females,1055.3,1125.2,36.5,38.6,29.2,29.6,2023
391 Hairdressers,Males,1204.3,1204.3,36.5,36.5,33.1,33.1,2023
391 Hairdressers,Persons,1092.9,1145.2,36.5,38.1,30.2,30.5,2023
392 Printing trades workers,Females,1145.4,1179.6,36.8,37.6,31.2,31.5,2023
392 Printing trades workers,Males,1352.6,1385.7,38,38.8,35.5,35.7,2023
392 Printing trades workers,Persons,1324.7,1357.9,37.8,38.6,34.9,35.1,2023
"393 Textile, clothing and footwear trades workers",Females,1360.9,1399.9,38,39.1,35.8,35.9,2023
"393 Textile, clothing and footwear trades workers",Males,1068.7,1123.9,38.3,39.5,27.9,28.5,2023
"393 Textile, clothing and footwear trades workers",Persons,1189.9,1238.3,38.2,39.3,31.2,31.6,2023
394 Wood trades workers,Persons,1172.6,1289.4,38,40.6,30.8,31.7,2023
399 Miscellaneous technicians and trades workers,Females,1456.9,1493.5,37.7,38,38.7,38.9,2023
399 Miscellaneous technicians and trades workers,Males,2195.9,2449.9,38.3,41.4,57.7,59.1,2023
399 Miscellaneous technicians and trades workers,Persons,2038.3,2245.8,38.2,40.7,53.6,54.8,2023
411 Health and welfare support workers,Females,1697.6,1754.5,37.3,38,45.4,45.8,2023
411 Health and welfare support workers,Males,1952.3,2132.9,38.7,40.8,50.6,51.9,2023
411 Health and welfare support workers,Persons,1780.4,1877.5,37.7,38.9,47.1,47.8,2023
421 Child carers,Females,1182.2,1193.7,37.4,37.6,31.6,31.7,2023
421 Child carers,Males,1065.5,1065.5,37.4,37.4,28.5,28.5,2023
