ANZSCO Level,NFD Indicator 5,Code,ANZSCO Title,COVID Adjusted 3,Skill Level 4,Trend Data for Aug 2025 1,Qtr Change to Aug 2025 1,Qtr Change to Aug 2025 1,1 Year  Change to Aug 2025 1,1 Year  Change to Aug 2025 1,5 Year  Change to Aug 2025 1,5 Year  Change to Aug 2025 1,10 Year  Change to Aug 2025 1,10 Year  Change to Aug 2025 1,Share of National Emp 1,Share of Level 1 Group 1,Female Share 2024 4 Quarter Avg 2,Part Time Share 2024 4 Quarter Avg 2,Female Part Time Share 2024 4 Quarter Avg 2,Male Part Time Share 2024 4 Quarter Avg 2,Median Age 2024 2,Median Female Age 2024 2,Median Male Age 2024 2
2,N,12,Farmers and Farm Managers,-,-,159.15182672647,-0.613275981967405,-0.383861038218466,-2.50533127421915,-1.54978060062671,-12.1370630222712,-7.08572694940971,-3.54237071257009,-2.17731840983289,1.08332912023403,8.44845624703427,27,25,48,16,58,60,58
3,N,121,Farmers and Farm Managers,-,-,159.15182672647,-0.613275981967405,-0.383861038218466,-2.50533127421915,-1.54978060062671,-12.1370630222712,-7.08572694940971,-3.54237071257009,-2.17731840983289,1.08227895571763,8.37316318707815,27,25,48,16,58,60,58
4,Y,1210,Farmers and Farm Managers nfd,-,1,17.9713501261734,0.291530314562593,1.64894392402764,1.20505527764475,7.18736780267527,6.9718190743664,63.3828755201437,-0.0435635059661834,-0.241819121954954,0.122433894632363,0.942778142409618,-,-,-,-,-,-,-
4,N,1211,Aquaculture Farmers,-,1,1.91245970537278,-0.00422784630098483,-0.220580881703584,-0.0181469609260068,-0.939961580097344,-0.346700253555178,-15.34642344315,-0.635606424337593,-24.9446596745053,<0.1,0.100327754776681,-,-,-,-,56,56,42
4,N,1212,Crop Farmers,-,1,34.6978530621538,-0.214112095618972,-0.613291445071525,-0.879934108809188,-2.47326823498273,-5.94666198506261,-14.6309089385232,-6.67454808222028,-16.1328516054184,0.236386985727572,1.82025152400192,22,17,38,10,51,51,51
4,N,1213,Livestock Farmers,-,1,78.1490641668487,-0.63678181298576,-0.808243923849908,-2.62051047299752,-3.24442772502202,-10.0878481916264,-11.4326849410177,3.42444995501549,4.58276030078614,0.532408206431123,4.09970475389984,30,32,51,23,62,62,63
4,N,1214,Mixed Crop and Livestock Farmers,-,1,27.6917923323177,0.0663390560402171,0.240137439110125,0.235880193878671,0.859123502032308,-1.84164482994051,-6.23579578571371,1.77988049538259,6.86896631396193,0.18865660959209,1.45271314351797,26,19,54,7,54,58,54
2,N,13,Specialist Managers,-,-,1016.96848476064,12.5538883644963,1.24987115973223,27.2557670757864,2.75390692559185,158.984543282575,18.5300138611791,327.025533483819,47.3989237629895,6.92239351920832,53.9850149686281,40,10,16,6,44,43,45
3,Y,130,Specialist Managers nfd,-,-,4.50330033328023,0.109420508575683,2.49029361159282,0.455479554610691,11.2524634739486,1.27186267170391,39.3590347363681,-5.35846083132968,-54.3357392446204,<0.1,0.236923881720721,-,-,-,-,-,-,-
4,Y,1300,Specialist Managers nfd,-,1,4.50330033328023,0.109420508575683,2.49029361159282,0.455479554610691,11.2524634739486,1.27186267170391,39.3590347363681,-5.35846083132968,-54.3357392446204,<0.1,0.236243414830545,-,-,-,-,-,-,-
3,N,131,"Advertising, Public Relations and Sales Managers",-,-,165.046445756489,0.118499763986136,0.0718494147689944,0.55147866754092,0.335255647817307,10.4364639250626,6.75018766669387,33.4139608096743,25.3842817167624,1.12236408863368,8.68328596781654,43,10,16,5,43,40,45
4,N,1311,"Advertising, Public Relations and Sales Managers",-,1,165.046445756489,0.118499763986136,0.0718494147689944,0.55147866754092,0.335255647817307,10.4364639250626,6.75018766669387,33.4139608096743,25.3842817167624,1.12441630747409,8.65834678247095,43,10,16,5,43,40,45
3,N,132,Business Administration Managers,-,-,254.009723613909,1.2930661147129,0.511666356902893,4.68918984494823,1.88078766480325,55.1344689925713,27.7231418748141,111.100798903223,77.7423797206099,1.72734038979939,13.3637477537676,55,12,16,7,44,44,45
4,Y,1320,Business Administration Managers nfd,-,1,1.90138832042389,0.119355829837073,6.69773589805704,0.463817471483915,32.2639730644177,1.01702267465483,115.000246732832,1.63216292338669,606.244039882004,<0.1,0.0997469492354869,-,-,-,-,-,-,-
4,N,1321,Corporate Services Managers,-,1,21.8759062820585,-0.00895629483720128,-0.0409246108159556,0.0159791053516649,0.0730977062388922,4.27109933476098,24.2609836480861,12.4622147801401,132.383930125609,0.149034568127647,1.14761140055299,58,14,16,12,48,48,47
4,N,1322,Finance Managers,-,1,78.2365834271691,0.683784237414415,0.88170155630533,2.71073136805879,3.58914370927882,14.4673895179067,22.6871136845362,25.403372191612,48.0822035941577,0.533004451221922,4.1042960197252,47,12,17,8,46,47,45
4,N,1323,Human Resource Managers,-,1,92.2221107003114,-0.184128996453609,-0.199260349796546,-0.658804983862908,-0.709300698652736,15.6724598767906,20.4735876756933,43.7883497479821,90.4087332616612,0.628284024571514,4.83797764801807,60,11,15,4,43,42,44
4,N,1324,Policy and Planning Managers,-,1,40.3700397244307,0.635550224776523,1.59949261404769,2.5988669238662,6.88055660222273,14.1856232909273,54.1758237268813,18.9080706086561,88.1003532651559,0.275030042552383,2.11781478815945,56,10,16,4,44,43,44
4,N,1325,Research and Development Managers,-,1,20.1393847744071,0.288567567818607,1.45368104907455,1.15445403465411,6.08089674110198,6.22913312191812,44.7808801561367,9.21598986038941,84.3692820128911,0.137204121900628,1.05651337454249,60,17,20,12,43,42,46
