Occupation,Gender,Average weekly ordinary time cash earnings,Average weekly total cash earnings,Average weekly ordinary time hours paid for,Average weekly total hours paid for,Average hourly ordinary time cash earnings,Average hourly total cash earnings,Year
272 Social and welfare professionals,Females,1537.1,1554.2,36.8,37,41.7,42,2018
272 Social and welfare professionals,Males,1459.1,1470.5,38.1,38.2,38.3,38.5,2018
272 Social and welfare professionals,Persons,1517.4,1533,37.1,37.3,40.8,41.1,2018
"311 Agricultural, medical and science technicians",Females,1166,1205.4,37.1,37.9,31.5,31.8,2018
"311 Agricultural, medical and science technicians",Males,1457,1633.9,38.1,41.6,38.2,39.3,2018
"311 Agricultural, medical and science technicians",Persons,1331.2,1448.7,37.7,40,35.4,36.2,2018
312 Building and engineering technicians,Females,1583.9,1633.1,38.5,39.7,41.2,41.1,2018
312 Building and engineering technicians,Males,1978.5,2083.8,39.2,40.8,50.4,51.1,2018
312 Building and engineering technicians,Persons,1926.9,2024.9,39.1,40.7,49.3,49.8,2018
313 ICT and telecommunications technicians,Females,1241.3,1246.6,37.4,37.5,33.1,33.2,2018
313 ICT and telecommunications technicians,Males,1562.1,1580.7,38,38.2,41.1,41.3,2018
313 ICT and telecommunications technicians,Persons,1475,1490,37.8,38,39,39.2,2018
321 Automotive electricians and mechanics,Females,1195.3,1312.5,39,41.2,30.7,31.8,2018
321 Automotive electricians and mechanics,Males,1445.3,1578.8,39.7,42.4,36.4,37.3,2018
321 Automotive electricians and mechanics,Persons,1442.4,1575.7,39.7,42.4,36.3,37.2,2018
322 Fabrication engineering trades workers,Females,1289.8,1310.2,34.3,34.7,37.6,37.7,2018
322 Fabrication engineering trades workers,Males,1370.3,1658.8,38.6,44.1,35.5,37.6,2018
322 Fabrication engineering trades workers,Persons,1367.2,1645.2,38.4,43.7,35.6,37.6,2018
323 Mechanical engineering trades workers,Females,1822.9,1876.7,38.8,39.8,46.9,47.1,2018
323 Mechanical engineering trades workers,Males,1876.2,2280.7,39.5,45.6,47.5,50.1,2018
323 Mechanical engineering trades workers,Persons,1874.3,2266.2,39.5,45.3,47.4,50,2018
"324 Panelbeaters, and vehicle body builders, trimmers and painters",Persons,1165.1,1368.1,37.4,41.8,31.2,32.7,2018
"331 Bricklayers, and carpenters and joiners",Persons,1453.3,1741.3,37.6,42.1,38.7,41.4,2018
332 Floor finishers and painting trades workers,Females,0,0,0,0,0,0,2018
332 Floor finishers and painting trades workers,Males,1372.3,1565.5,37.3,40.1,36.8,39,2018
332 Floor finishers and painting trades workers,Persons,1372.3,1565.5,37.3,40.1,36.8,39,2018
"333 Glaziers, plasterers and tilers",Persons,1472,1687.1,38.2,40.9,38.5,41.2,2018
334 Plumbers,Females,0,0,0,0,0,0,2018
334 Plumbers,Males,1738.5,1947.1,37.4,40.4,46.5,48.2,2018
334 Plumbers,Persons,1738.5,1947.1,37.4,40.4,46.5,48.2,2018
341 Electricians,Females,1460.4,1490.5,38.1,38.7,38.4,38.5,2018
341 Electricians,Males,1781.4,2140.2,38.6,43.4,46.2,49.3,2018
341 Electricians,Persons,1774.5,2126.2,38.6,43.3,46,49.1,2018
342 Electronics and telecommunications trades workers,Females,1316.1,1354.8,31,31.6,42.4,42.9,2018
342 Electronics and telecommunications trades workers,Males,1512.5,1706.2,38.1,40.6,39.7,42.1,2018
342 Electronics and telecommunications trades workers,Persons,1510.6,1702.7,38.1,40.5,39.7,42.1,2018
351 Food trades workers,Females,1155.3,1173,39.3,39.8,29.4,29.5,2018
351 Food trades workers,Males,1226.8,1241,39.4,39.7,31.2,31.3,2018
351 Food trades workers,Persons,1218.2,1232.8,39.4,39.7,31,31,2018
"361 Animal attendants and trainers, and shearers",Females,1049.7,1088.2,37.8,38.6,27.7,28.2,2018
"361 Animal attendants and trainers, and shearers",Males,1055.8,1056.8,37.5,37.5,28.1,28.1,2018
"361 Animal attendants and trainers, and shearers",Persons,1051,1081.6,37.8,38.4,27.8,28.2,2018
362 Horticultural trades workers,Females,1032.9,1068.9,39.8,41.1,25.9,26,2018
362 Horticultural trades workers,Males,1113.1,1137,38,38.6,29.3,29.5,2018
362 Horticultural trades workers,Persons,1099.5,1125.4,38.3,39,28.7,28.9,2018
391 Hairdressers,Females,1091.3,1094.3,37.6,37.6,29.1,29.1,2018
391 Hairdressers,Males,1300.6,1300.6,38.2,38.2,34.1,34.1,2018
391 Hairdressers,Persons,1143,1145.2,37.7,37.8,30.3,30.3,2018
392 Printing trades workers,Females,1094.8,1095.1,37.7,37.7,29,29,2018
392 Printing trades workers,Males,1211,1257,37.8,38.8,32.1,32.4,2018
392 Printing trades workers,Persons,1192.8,1231.6,37.8,38.7,31.6,31.9,2018
"393 Textile, clothing and footwear trades workers",Females,1373.8,1373.8,38,38,36.2,36.2,2018
"393 Textile, clothing and footwear trades workers",Males,997.7,1146.5,38.4,41.8,26,27.4,2018
"393 Textile, clothing and footwear trades workers",Persons,1132.4,1227.9,38.3,40.5,29.6,30.4,2018
394 Wood trades workers,Females,0,0,0,0,0,0,2018
394 Wood trades workers,Males,1052.6,1081.7,38.6,39.4,27.3,27.5,2018
394 Wood trades workers,Persons,1052.6,1081.7,38.6,39.4,27.3,27.5,2018
399 Miscellaneous technicians and trades workers,Females,1324.8,1443,37.3,38.8,35.6,37.2,2018
399 Miscellaneous technicians and trades workers,Males,1993.5,2112.5,38.8,40.2,51.4,52.5,2018
399 Miscellaneous technicians and trades workers,Persons,1904.2,2023.1,38.6,40,49.4,50.5,2018
411 Health and welfare support workers,Females,1385.4,1417.8,37.2,37.9,37.2,37.5,2018
411 Health and welfare support workers,Males,1595.4,1779.9,37.5,40.6,42.6,43.8,2018
411 Health and welfare support workers,Persons,1443.2,1517.5,37.3,38.6,38.7,39.3,2018
421 Child carers,Persons,949.8,953.3,37.2,37.3,25.5,25.5,2018
422 Education aides,Persons,1146,1147.6,37.7,37.7,30.4,30.4,2018
423 Personal carers and assistants,Females,1133.4,1163.7,38.1,38.9,29.7,29.9,2018
423 Personal carers and assistants,Males,1327.1,1547.6,39.8,44.4,33.3,34.9,2018
423 Personal carers and assistants,Persons,1181.8,1259.6,38.5,40.3,30.7,31.3,2018
431 Hospitality workers,Females,1042.4,1053.4,38.3,38.7,27.2,27.2,2018
431 Hospitality workers,Males,1082.9,1097.5,39.4,39.8,27.5,27.5,2018
431 Hospitality workers,Persons,1063,1075.9,38.9,39.3,27.4,27.4,2018
"441 Defence force members, fire fighters and police",Females,1910.1,1960.7,38.5,39.3,49.6,49.9,2018
"441 Defence force members, fire fighters and police",Males,1999,2130.4,38.5,40.2,52,53,2018
"441 Defence force members, fire fighters and police",Persons,1979.8,2093.8,38.5,40,51.5,52.4,2018
442 Prison and security officers,Females,1306.2,1414.8,38.5,40.7,34,34.8,2018
442 Prison and security officers,Males,1305.5,1465.7,38.3,41.6,34.1,35.2,2018
442 Prison and security officers,Persons,1305.6,1455,38.3,41.4,34.1,35.1,2018
451 Personal service and travel workers,Females,1145.3,1166.3,37.7,38.2,30.4,30.5,2018
451 Personal service and travel workers,Males,1478.8,1525.4,37.5,38.3,39.4,39.8,2018
451 Personal service and travel workers,Persons,1251.3,1280.5,37.6,38.3,33.3,33.5,2018
452 Sports and fitness workers,Females,1315.2,1361.6,37.9,38.5,34.7,35.4,2018
452 Sports and fitness workers,Males,1635,1659.5,37.9,38.2,43.1,43.4,2018
452 Sports and fitness workers,Persons,1458.6,1495.2,37.9,38.4,38.5,39,2018
"511 Contract, program and project administrators",Females,1574.2,1591.4,37.4,37.7,42.1,42.2,2018
"511 Contract, program and project administrators",Males,1866.6,1884.5,38.1,38.4,49,49,2018
"511 Contract, program and project administrators",Persons,1722.6,1740.2,37.8,38.1,45.6,45.7,2018
512 Office and practice managers,Females,1446.6,1478.4,38,38.7,38,38.2,2018
512 Office and practice managers,Males,1632.5,1663.5,38.2,38.7,42.7,43,2018
512 Office and practice managers,Persons,1486.8,1518.4,38.1,38.7,39,39.2,2018
521 Personal assistants and secretaries,Females,1408.7,1409.7,37.6,37.6,37.5,37.5,2018
521 Personal assistants and secretaries,Males,1477.6,1501.9,38.4,38.9,38.5,38.6,2018
521 Personal assistants and secretaries,Persons,1411.8,1413.7,37.6,37.7,37.5,37.5,2018
531 General clerks,Females,1107,1121.4,37,37.3,29.9,30,2018
531 General clerks,Males,1159.6,1189.5,37.6,38.3,30.8,31.1,2018
531 General clerks,Persons,1114.9,1131.7,37.1,37.5,30.1,30.2,2018
532 Keyboard operators,Females,1117.2,1134.5,37.2,37.6,30,30.1,2018
532 Keyboard operators,Males,1167.6,1167.6,38,38,30.8,30.8,2018
532 Keyboard operators,Persons,1120,1136.4,37.2,37.7,30.1,30.2,2018
541 Call or contact centre information clerks,Females,1200.9,1226.9,37.2,37.7,32.3,32.5,2018
541 Call or contact centre information clerks,Males,1204.9,1245,37.8,38.5,31.9,32.4,2018
541 Call or contact centre information clerks,Persons,1202.1,1232.3,37.4,37.9,32.2,32.5,2018
542 Receptionists,Females,1011.6,1015.4,37.8,37.9,26.8,26.8,2018
542 Receptionists,Males,1084.1,1095.2,38.5,39,28.1,28.1,2018
542 Receptionists,Persons,1017.9,1022.3,37.9,38,26.9,26.9,2018
551 Accounting clerks and bookkeepers,Females,1227.9,1241.1,38,38.3,32.3,32.4,2018
551 Accounting clerks and bookkeepers,Males,1359.8,1365.3,37.9,38,35.9,35.9,2018
551 Accounting clerks and bookkeepers,Persons,1260.2,1271.5,38,38.2,33.2,33.3,2018
552 Financial and insurance clerks,Females,1256.6,1273.8,37.9,38.3,33.1,33.2,2018
552 Financial and insurance clerks,Males,1312.2,1331.5,37.3,37.6,35.2,35.4,2018
552 Financial and insurance clerks,Persons,1278,1296.1,37.7,38,33.9,34.1,2018
561 Clerical and office support workers,Females,1197,1247,37.2,38.3,32.2,32.6,2018
561 Clerical and office support workers,Males,1125.1,1328.8,37.2,42,30.3,31.6,2018
561 Clerical and office support workers,Persons,1158,1291.3,37.2,40.3,31.1,32,2018
591 Logistics clerks,Females,1245.6,1260.4,38,38.3,32.8,32.9,2018
591 Logistics clerks,Males,1409.4,1455,38.8,39.7,36.3,36.6,2018
591 Logistics clerks,Persons,1344.3,1377.6,38.5,39.2,34.9,35.2,2018
599 Miscellaneous clerical and administrative workers,Females,1290.4,1303.8,37,37.2,34.9,35,2018
599 Miscellaneous clerical and administrative workers,Males,1481.1,1541.9,37.5,38.5,39.5,40,2018
599 Miscellaneous clerical and administrative workers,Persons,1374.8,1409.2,37.2,37.8,36.9,37.3,2018
611 Insurance agents and sales representatives,Females,1404.5,1416.4,37.8,38.1,37.2,37.2,2018
611 Insurance agents and sales representatives,Males,1621.1,1627.6,37.9,38,42.8,42.8,2018
611 Insurance agents and sales representatives,Persons,1540.3,1548.8,37.8,38,40.7,40.7,2018
612 Real estate sales agents,Females,1256.3,1274.8,38,38.5,33,33.1,2018
612 Real estate sales agents,Males,1301.8,1303.6,38.2,38.3,34.1,34.1,2018
612 Real estate sales agents,Persons,1271.7,1284.6,38.1,38.4,33.4,33.4,2018
621 Sales assistants and salespersons,Females,1010.3,1023.3,38.1,38.5,26.5,26.6,2018
621 Sales assistants and salespersons,Males,1153.7,1194.3,38.6,39.6,29.9,30.1,2018
621 Sales assistants and salespersons,Persons,1076.3,1102.1,38.4,39,28.1,28.2,2018
631 Checkout operators and office cashiers,Females,905.6,937,37.7,38.5,24,24.3,2018
631 Checkout operators and office cashiers,Males,925.3,937.2,38.7,39,23.9,24.1,2018
631 Checkout operators and office cashiers,Persons,910.1,937,37.9,38.6,24,24.3,2018
639 Miscellaneous sales support workers,Females,1141.4,1189.5,38.2,39.3,29.9,30.3,2018
639 Miscellaneous sales support workers,Males,1516.4,1553.7,38.2,38.8,39.7,40.1,2018
639 Miscellaneous sales support workers,Persons,1300.5,1344.1,38.2,39.1,34,34.4,2018
711 Machine operators,Females,1048.4,1095.9,37.7,38.8,27.8,28.3,2018
711 Machine operators,Males,1166,1403.1,38.2,42.8,30.5,32.8,2018
711 Machine operators,Persons,1144.2,1346.2,38.1,42,30,32,2018
712 Stationary plant operators,Females,1929.1,2038.4,41.4,43.3,46.6,47.1,2018
712 Stationary plant operators,Males,2004.5,2163.7,41.2,44,48.7,49.2,2018
712 Stationary plant operators,Persons,1999.1,2154.7,41.2,43.9,48.5,49.1,2018
721 Mobile plant operators,Females,1069.2,1646.8,30.5,43.2,35,38.1,2018
721 Mobile plant operators,Males,1267.9,1511,38.8,43.9,32.7,34.4,2018
721 Mobile plant operators,Persons,1264.7,1513.2,38.6,43.9,32.7,34.5,2018
"731 Automobile, bus and rail drivers",Females,1673.2,1857.6,38.7,41.5,43.3,44.8,2018
"731 Automobile, bus and rail drivers",Males,1603.7,1848.3,38.3,42.6,41.9,43.3,2018
"731 Automobile, bus and rail drivers",Persons,1609.1,1849,38.3,42.6,42,43.4,2018
732 Delivery drivers,Females,970.4,1037.3,40.6,42.2,23.9,24.6,2018
732 Delivery drivers,Males,976.4,1117.1,38.8,42.5,25.2,26.3,2018
732 Delivery drivers,Persons,976,1112.4,38.9,42.5,25.1,26.2,2018
733 Truck drivers,Females,1378.9,1568.5,41.6,47.2,33.1,33.2,2018
733 Truck drivers,Males,1335,1631.5,40.6,47.6,32.9,34.3,2018
733 Truck drivers,Persons,1336.8,1629,40.6,47.6,32.9,34.3,2018
741 Storepersons,Females,1030.7,1064.4,38.2,39,27,27.3,2018
741 Storepersons,Males,1051.8,1126,37.8,39.5,27.9,28.5,2018
741 Storepersons,Persons,1048.3,1115.8,37.8,39.4,27.7,28.3,2018
811 Cleaners and laundry workers,Females,913.2,932.3,37.5,38,24.4,24.5,2018
811 Cleaners and laundry workers,Males,974.1,1087.6,37.3,40,26.1,27.2,2018
811 Cleaners and laundry workers,Persons,948.6,1022.7,37.4,39.2,25.4,26.1,2018
821 Construction and mining labourers,Females,1325.8,1613.6,37.6,43.2,35.3,37.3,2018
821 Construction and mining labourers,Males,1478.1,1865.1,38.4,44.4,38.5,42,2018
821 Construction and mining labourers,Persons,1474.4,1859,38.3,44.4,38.4,41.9,2018
831 Food process workers,Females,1033.9,1182.3,37.2,40.3,27.8,29.3,2018
831 Food process workers,Males,1150.8,1275.7,37.2,40,30.9,31.9,2018
831 Food process workers,Persons,1121,1251.9,37.2,40.1,30.1,31.2,2018
832 Packers and product assemblers,Females,849,912.7,37.5,39.1,22.6,23.3,2018
832 Packers and product assemblers,Males,1015.8,1099.1,37,39,27.4,28.2,2018
832 Packers and product assemblers,Persons,940.6,1015.1,37.3,39.1,25.2,26,2018
839 Miscellaneous factory process workers,Females,936.6,969.6,37.4,38.2,25,25.4,2018
839 Miscellaneous factory process workers,Males,1106,1198.2,38,40.1,29.1,29.9,2018
839 Miscellaneous factory process workers,Persons,1073,1153.7,37.9,39.7,28.3,29,2018
"841 Farm, forestry and garden workers",Females,922,923.5,39.4,39.5,23.4,23.4,2018
"841 Farm, forestry and garden workers",Males,1072,1128.7,38.8,40.4,27.6,27.9,2018
"841 Farm, forestry and garden workers",Persons,1058.2,1109.8,38.9,40.3,27.2,27.5,2018
851 Food preparation assistants,Females,1080.5,1099.1,40.7,41.3,26.5,26.6,2018
851 Food preparation assistants,Males,978.9,979.4,37.8,37.8,25.9,25.9,2018
851 Food preparation assistants,Persons,1042.7,1054.6,39.7,40,26.3,26.4,2018
891 Freight handlers and shelf fillers,Females,1071.7,1072.2,39.4,39.4,27.2,27.2,2018
891 Freight handlers and shelf fillers,Males,1172.9,1338.6,37.8,41.6,31.1,32.2,2018
891 Freight handlers and shelf fillers,Persons,1159.6,1303.5,38,41.3,30.5,31.6,2018
899 Miscellaneous labourers,Females,1137.3,1484.1,37.2,41.1,30.6,36.1,2018
899 Miscellaneous labourers,Males,1162.2,1291.2,37.9,40.4,30.6,31.9,2018
899 Miscellaneous labourers,Persons,1159.4,1312.4,37.9,40.5,30.6,32.4,2018
