Occupation,Gender,Average weekly ordinary time cash earnings,Average weekly total cash earnings,Average weekly ordinary time hours paid for,Average weekly total hours paid for,Average hourly ordinary time cash earnings,Average hourly total cash earnings,Year
121 Farmers and farm managers,Females,2201.9,2201.9,38.4,38.4,57.3,57.3,2018
121 Farmers and farm managers,Males,1821.9,1821.9,39.6,39.6,46,46,2018
121 Farmers and farm managers,Persons,2098.4,2098.4,38.8,38.8,54.1,54.1,2018
131 Advertising and sales managers,Females,2262.9,2262.9,38.3,38.3,59,59,2018
131 Advertising and sales managers,Males,2638.7,2638.7,38.2,38.2,69.1,69.1,2018
131 Advertising and sales managers,Persons,2484.8,2484.8,38.2,38.2,65,65,2018
132 Business administration managers,Females,2652.4,2661.7,37.5,37.6,70.8,70.8,2018
132 Business administration managers,Males,2795.1,2796.6,37.6,37.7,74.2,74.3,2018
132 Business administration managers,Persons,2734.9,2739.7,37.6,37.6,72.8,72.8,2018
"133 Construction, distribution and production managers",Females,2685.3,2685.3,38.7,38.7,69.4,69.4,2018
"133 Construction, distribution and production managers",Males,2905.9,2929.1,38.5,38.8,75.6,75.6,2018
"133 Construction, distribution and production managers",Persons,2872.6,2892.4,38.5,38.8,74.6,74.6,2018
"134 Education, health and welfare services managers",Females,2129.7,2130.7,37.8,37.8,56.4,56.4,2018
"134 Education, health and welfare services managers",Males,2345.6,2348,37.6,37.6,62.4,62.4,2018
"134 Education, health and welfare services managers",Persons,2175.6,2176.9,37.7,37.8,57.6,57.6,2018
135 ICT managers,Females,2773.6,2822,38,38.4,73.1,73.5,2018
135 ICT managers,Males,2855.2,2862.7,37.7,37.8,75.7,75.7,2018
135 ICT managers,Persons,2840.3,2855.3,37.8,37.9,75.2,75.3,2018
139 Miscellaneous specialist managers,Females,2261,2264.5,37.8,37.8,59.8,59.8,2018
139 Miscellaneous specialist managers,Males,2522.7,2551.6,38.1,38.4,66.3,66.4,2018
139 Miscellaneous specialist managers,Persons,2459.8,2482.6,38,38.3,64.7,64.9,2018
141 Accommodation and hospitality managers,Females,1180,1184.1,38.8,38.9,30.4,30.4,2018
141 Accommodation and hospitality managers,Males,1460.6,1496.8,38.3,39.4,38.1,38,2018
141 Accommodation and hospitality managers,Persons,1353,1376.8,38.5,39.2,35.1,35.1,2018
142 Retail managers,Females,1487.1,1487.2,38.5,38.5,38.6,38.6,2018
142 Retail managers,Males,1487.2,1488,38.3,38.3,38.9,38.9,2018
142 Retail managers,Persons,1487.2,1487.7,38.4,38.4,38.8,38.8,2018
"149 Miscellaneous hospitality, retail and service managers",Females,1639.1,1644.9,37.9,38,43.2,43.3,2018
"149 Miscellaneous hospitality, retail and service managers",Males,1924.4,1946.5,37.7,38.1,51.1,51.2,2018
"149 Miscellaneous hospitality, retail and service managers",Persons,1803.4,1818.6,37.8,38,47.8,47.8,2018
211 Arts professionals,Females,1368.9,1368.9,37.1,37.1,36.9,36.9,2018
211 Arts professionals,Males,1390.8,1390.8,37.2,37.2,37.4,37.4,2018
211 Arts professionals,Persons,1382.7,1382.7,37.2,37.2,37.2,37.2,2018
212 Media professionals,Females,1619.6,1635.6,38.7,39,41.8,41.9,2018
212 Media professionals,Males,1971.8,2007.5,38.6,39.1,51.1,51.3,2018
212 Media professionals,Persons,1810.7,1837.4,38.7,39.1,46.8,47,2018
"221 Accountants, auditors and company secretaries",Females,1730.9,1731.1,37.6,37.6,46,46,2018
"221 Accountants, auditors and company secretaries",Males,1864.5,1867.5,38,38.1,49.1,49.1,2018
"221 Accountants, auditors and company secretaries",Persons,1799.1,1800.6,37.8,37.9,47.6,47.6,2018
"222 Financial brokers and dealers, and investment advisers",Females,2327.5,2328.3,38.1,38.1,61.2,61.1,2018
"222 Financial brokers and dealers, and investment advisers",Males,2908.4,2908.4,38,38,76.5,76.5,2018
"222 Financial brokers and dealers, and investment advisers",Persons,2736,2736.2,38,38,72,71.9,2018
223 Human resource and training professionals,Females,1714.9,1719,37.8,37.9,45.3,45.3,2018
223 Human resource and training professionals,Males,1944,1962,38.4,38.6,50.7,50.9,2018
223 Human resource and training professionals,Persons,1799.7,1808.9,38,38.2,47.3,47.4,2018
224 Information and organisation professionals,Females,1841.5,1842.6,37.2,37.2,49.5,49.5,2018
224 Information and organisation professionals,Males,2279.4,2287.9,37.7,37.8,60.4,60.5,2018
224 Information and organisation professionals,Persons,2089.4,2094.7,37.5,37.6,55.7,55.7,2018
"225 Sales, marketing and public relations professionals",Females,1921.3,1943.8,37.3,37.7,51.5,51.6,2018
"225 Sales, marketing and public relations professionals",Males,2288,2288,38,38,60.3,60.3,2018
"225 Sales, marketing and public relations professionals",Persons,2110.1,2121,37.7,37.8,56,56.1,2018
231 Air and marine transport professionals,Females,2419.2,2419.2,37.4,37.4,64.7,64.7,2018
231 Air and marine transport professionals,Males,2468.4,2552,38.8,39.8,63.6,64.1,2018
231 Air and marine transport professionals,Persons,2464.1,2540.6,38.7,39.6,63.7,64.2,2018
"232 Architects, designers, planners and surveyors",Females,1430.2,1430.7,37.7,37.8,37.9,37.9,2018
"232 Architects, designers, planners and surveyors",Males,1800.1,1817.6,38,38.3,47.4,47.5,2018
"232 Architects, designers, planners and surveyors",Persons,1633.7,1643.6,37.9,38,43.1,43.2,2018
233 Engineering professionals,Females,2054.8,2061.7,37.8,37.9,54.4,54.3,2018
233 Engineering professionals,Males,2416,2465,38.4,39.2,62.9,62.9,2018
233 Engineering professionals,Persons,2379.1,2423.8,38.4,39,62,62.1,2018
234 Natural and physical science professionals,Females,1807.6,1823.3,37.5,37.7,48.2,48.3,2018
234 Natural and physical science professionals,Males,2038.6,2049.1,38,38.1,53.7,53.7,2018
234 Natural and physical science professionals,Persons,1935.9,1948.7,37.8,38,51.3,51.3,2018
241 School teachers,Females,1755.5,1756.1,36.9,36.9,47.6,47.6,2018
241 School teachers,Males,1848.1,1848.1,37.2,37.2,49.7,49.7,2018
241 School teachers,Persons,1791.1,1791.5,37,37,48.4,48.4,2018
242 Tertiary education teachers,Females,2372.1,2373.3,36.4,36.4,65.2,65.2,2018
242 Tertiary education teachers,Males,2506.6,2531.5,36.8,37,68.2,68.4,2018
242 Tertiary education teachers,Persons,2454.8,2470.6,36.6,36.8,67,67.2,2018
249 Miscellaneous education professionals,Females,1936.6,1941.2,37.1,37.2,52.2,52.2,2018
249 Miscellaneous education professionals,Males,1765.7,1765.7,36.6,36.6,48.2,48.2,2018
249 Miscellaneous education professionals,Persons,1863.7,1866.3,36.9,36.9,50.5,50.5,2018
251 Health diagnostic and promotion professionals,Females,1951.3,2026.7,38.1,38.7,51.3,52.3,2018
251 Health diagnostic and promotion professionals,Males,2083.8,2108.6,38.6,38.9,54,54.2,2018
251 Health diagnostic and promotion professionals,Persons,2013.7,2065.2,38.3,38.8,52.6,53.2,2018
252 Health therapy professionals,Females,1724.2,1754.8,37.3,37.6,46.3,46.6,2018
252 Health therapy professionals,Males,1454,1454,37.5,37.5,38.8,38.8,2018
252 Health therapy professionals,Persons,1619.5,1638.2,37.4,37.6,43.4,43.6,2018
253 Medical practitioners,Females,3663.8,3850.8,38.8,40.9,94.3,94.2,2018
253 Medical practitioners,Males,3585.1,3905.8,38.6,41.3,93,94.6,2018
253 Medical practitioners,Persons,3622.3,3879.8,38.7,41.1,93.6,94.4,2018
254 Midwifery and nursing professionals,Females,1976.4,2016.7,37.8,38.3,52.2,52.6,2018
254 Midwifery and nursing professionals,Males,1948.4,2013.4,37.7,38.5,51.7,52.3,2018
254 Midwifery and nursing professionals,Persons,1971.1,2016.1,37.8,38.3,52.1,52.6,2018
"261 Business and systems analysts, and programmers",Females,2116.2,2125.1,38.2,38.2,55.5,55.6,2018
"261 Business and systems analysts, and programmers",Males,2198.3,2202.1,38.3,38.3,57.4,57.4,2018
"261 Business and systems analysts, and programmers",Persons,2181.6,2186.4,38.3,38.3,57,57,2018
"262 Database and systems administrators, and ICT security specialists",Females,1871.2,1885.4,38.8,39,48.2,48.4,2018
"262 Database and systems administrators, and ICT security specialists",Males,2046.4,2092.6,37.9,38.5,54,54.3,2018
"262 Database and systems administrators, and ICT security specialists",Persons,2019.1,2060.3,38,38.6,53.1,53.4,2018
263 ICT network and support professionals,Females,2149.5,2190,37.7,38.2,57,57.3,2018
263 ICT network and support professionals,Males,2138.9,2177.3,38.1,38.5,56.2,56.6,2018
263 ICT network and support professionals,Persons,2140.3,2179,38,38.4,56.3,56.7,2018
271 Legal professionals,Females,1885.5,1886.2,37.3,37.3,50.5,50.6,2018
271 Legal professionals,Males,2504.2,2504.2,37.4,37.4,67,67,2018
271 Legal professionals,Persons,2200.7,2201.1,37.3,37.3,58.9,58.9,2018
