Occupation,Gender,Average weekly ordinary time cash earnings,Average weekly total cash earnings,Average weekly ordinary time hours paid for,Average weekly total hours paid for,Average hourly ordinary time cash earnings,Average hourly total cash earnings,Year
"111 Chief executives, general managers and legislators",Females,2334.7,2334.7,35.8,35.8,65.3,65.3,2016
"111 Chief executives, general managers and legislators",Males,2806.1,2806.1,38.4,38.4,73,73,2016
"111 Chief executives, general managers and legislators",Persons,2666.2,2666.2,37.6,37.6,70.9,70.9,2016
121 Farmers and farm managers,Females,0,0,0,0,0,0,2016
131 Advertising and sales managers,Females,2329.9,2329.9,38,38,61.3,61.3,2016
131 Advertising and sales managers,Males,2343.8,2348.3,38.2,38.3,61.4,61.4,2016
131 Advertising and sales managers,Persons,2340.4,2343.8,38.1,38.2,61.4,61.3,2016
132 Business administration managers,Females,2267.6,2267.6,37.7,37.7,60.2,60.2,2016
132 Business administration managers,Males,2894.3,2894.3,37.8,37.8,76.6,76.6,2016
132 Business administration managers,Persons,2597.2,2597.2,37.7,37.7,68.8,68.8,2016
"133 Construction, distribution and production managers",Females,2327.8,2339.7,38.9,39.2,59.8,59.7,2016
"133 Construction, distribution and production managers",Males,2296.6,2362,38.7,39.8,59.3,59.3,2016
"133 Construction, distribution and production managers",Persons,2300.5,2359.2,38.8,39.8,59.4,59.3,2016
"134 Education, health and welfare services managers",Females,2119.6,2119.8,35.9,36,59,59,2016
"134 Education, health and welfare services managers",Males,2218.4,2218.4,36.4,36.4,61,61,2016
"134 Education, health and welfare services managers",Persons,2147,2147.1,36.1,36.1,59.5,59.5,2016
135 ICT managers,Females,2435.6,2435.6,37.6,37.6,64.8,64.8,2016
135 ICT managers,Males,2586.8,2594.6,37.3,37.4,69.4,69.5,2016
135 ICT managers,Persons,2539.7,2545.1,37.4,37.4,68,68,2016
139 Miscellaneous specialist managers,Females,2315.2,2325.2,37.9,38,61.1,61.2,2016
139 Miscellaneous specialist managers,Males,2756.6,2872.5,38.1,39.2,72.3,73.2,2016
139 Miscellaneous specialist managers,Persons,2483,2533.3,38,38.5,65.3,65.9,2016
141 Accommodation and hospitality managers,Females,1205.7,1205.7,39.1,39.1,30.8,30.8,2016
141 Accommodation and hospitality managers,Males,1360.6,1360.6,39.7,39.7,34.3,34.3,2016
141 Accommodation and hospitality managers,Persons,1297.2,1297.2,39.5,39.5,32.9,32.9,2016
142 Retail managers,Females,1267.4,1276.4,38.5,38.6,32.9,33,2016
142 Retail managers,Males,1548.9,1553.4,39.7,39.9,39,39,2016
142 Retail managers,Persons,1403.1,1409.9,39.1,39.2,35.9,35.9,2016
"149 Miscellaneous hospitality, retail and service managers",Females,1701.3,1708.8,37.8,37.9,45,45.1,2016
"149 Miscellaneous hospitality, retail and service managers",Males,1849.7,1880.5,38.1,38.6,48.6,48.7,2016
"149 Miscellaneous hospitality, retail and service managers",Persons,1758.9,1775.6,37.9,38.2,46.4,46.5,2016
211 Arts professionals,Females,1793.9,1793.9,37.8,37.8,47.4,47.4,2016
211 Arts professionals,Males,1580.3,1580.3,37.5,37.5,42.2,42.2,2016
211 Arts professionals,Persons,1671.2,1671.2,37.6,37.6,44.4,44.4,2016
212 Media professionals,Females,1443.2,1449,37.7,37.8,38.3,38.4,2016
212 Media professionals,Males,1888.6,1894.2,38.3,38.4,49.3,49.3,2016
212 Media professionals,Persons,1644.3,1650.1,38,38.1,43.3,43.4,2016
"221 Accountants, auditors and company secretaries",Females,1627.6,1627.8,37.4,37.4,43.5,43.5,2016
"221 Accountants, auditors and company secretaries",Males,1722.8,1722.8,37.8,37.8,45.5,45.5,2016
"221 Accountants, auditors and company secretaries",Persons,1667.7,1667.9,37.6,37.6,44.4,44.4,2016
"222 Financial brokers and dealers, and investment advisers",Females,1970.9,1971.3,37.3,37.3,52.9,52.9,2016
"222 Financial brokers and dealers, and investment advisers",Males,2360.4,2360.4,38,38,62.2,62.2,2016
"222 Financial brokers and dealers, and investment advisers",Persons,2245.3,2245.5,37.8,37.8,59.5,59.5,2016
223 Human resource and training professionals,Females,1607.6,1608.5,38,38.1,42.3,42.3,2016
223 Human resource and training professionals,Males,1959.2,1969.8,38.2,38.3,51.3,51.4,2016
223 Human resource and training professionals,Persons,1746,1750.7,38.1,38.2,45.8,45.9,2016
224 Information and organisation professionals,Females,1767.1,1777.4,37.1,37.3,47.6,47.7,2016
224 Information and organisation professionals,Males,2089.2,2095.1,37.7,37.8,55.4,55.4,2016
